t,num_candidates,num_survival,hazard_ratio,5th_percentile,95th_percentile
22,159903,144418,0.096840,0.095571,0.098663
23,144418,130510,0.096304,0.094536,0.098414
24,130510,117992,0.095916,0.094069,0.097861
25,117992,106697,0.095727,0.093534,0.097433
26,106697,96774,0.093002,0.091152,0.094701
27,96774,87599,0.094809,0.093174,0.096604
28,87599,79489,0.092581,0.090826,0.094651
29,79489,72032,0.093812,0.091563,0.095681
30,72032,65431,0.091640,0.089448,0.093509
31,65431,59370,0.092632,0.090135,0.094796
32,59370,53971,0.090938,0.088649,0.093164
33,53971,49065,0.090901,0.088601,0.092929
34,49065,44821,0.086497,0.084415,0.088838
35,44821,40931,0.086790,0.084045,0.089449
36,40931,37348,0.087538,0.084927,0.090152
