gc_content_min,gc_content_max_exclusive,per_base_error_rate,per_base_error_rate_5-95th_percentile,num_correct,num_error
0,5,1.000000,1.000000~1.000000,0,1
5,10,0.000091,0.000014~0.124552,40,14
10,15,0.007667,0.000536~0.007672,159,40
15,20,0.032015,0.005829~0.036045,488,94
20,25,0.160212,0.057343~0.184961,875,164
25,30,0.132730,0.108919~0.143418,2889,371
30,35,0.149956,0.142607~0.156968,18655,2118
35,40,0.152997,0.148323~0.158557,260594,28610
40,45,0.150445,0.146626~0.154785,2977023,318416
45,50,0.148805,0.144853~0.153237,1479990,156239
50,55,0.157395,0.151583~0.163388,34091,3950
55,60,0.158347,0.068357~0.176252,1793,252
60,65,0.138741,0.041904~0.154779,588,67
65,70,0.000198,0.000030~0.000238,71,12
70,75,0.000601,0.000036~0.017740,41,14
75,80,0.000028,0.000004~0.000034,43,3
80,85,0.038566,0.000390~1.000000,2,3
85,90,0.976409,0.005787~1.000000,2,3
