qscore,empirical_qscore,per_base_error_rate,per_base_error_rate_5-95th_percentile,num_correct,num_error
0,2.973,0.504304,0.471696~0.538141,1015,637
1,1.692,0.677290,0.666999~0.690639,18969,19690
2,3.039,0.496737,0.485432~0.505419,73517,39256
3,4.265,0.374501,0.365829~0.383183,79687,26966
4,5.172,0.303925,0.295924~0.311112,95227,23989
5,6.008,0.250727,0.244638~0.256237,137813,27029
6,6.743,0.211683,0.206071~0.218720,164890,26181
7,7.399,0.181995,0.176765~0.187331,196594,26164
8,8.313,0.147472,0.142964~0.151845,253089,26529
9,9.080,0.123581,0.120126~0.127213,316365,27292
10,9.083,0.123506,0.120605~0.127025,312006,26931
11,8.984,0.126347,0.123027~0.130590,384445,33808
12,8.708,0.134646,0.131180~0.138806,504668,47553
13,9.254,0.118741,0.115746~0.121920,1019669,83045
14,10.342,0.092424,0.090039~0.095173,1220811,75343
15,51.389,0.000007,0.000002~0.000013,32,1
